algo,func,run_id,error
IDBO,F32014,0,59282.73968293181
IDBO,F32014,1,28139.82473937141
IDBO,F32014,2,58723.658258969386
IDBO,F32014,3,53951.797249997915
IDBO,F32014,4,35465.92627749977
IDBO,F32014,5,67857.6235688932
IDBO,F32014,6,59739.375063998414
IDBO,F32014,7,46955.032372101996
IDBO,F32014,8,42992.670571177725
IDBO,F32014,9,55719.26880169864
IDBO,F32014,10,48816.00270479643
IDBO,F32014,11,34769.00026299934
IDBO,F32014,12,53712.41812396933
IDBO,F32014,13,28845.21367415136
IDBO,F32014,14,32162.62944549543
IDBO,F32014,15,56471.168671790474
IDBO,F32014,16,27771.492138132755
IDBO,F32014,17,56653.34700670547
IDBO,F32014,18,45684.33535104876
IDBO,F32014,19,41969.25872685625
IDBO,F32014,20,70982.69791740377
IDBO,F32014,21,49174.75110419189
IDBO,F32014,22,43562.05758186055
IDBO,F32014,23,49555.689453752726
IDBO,F32014,24,55471.6456674965
IDBO,F32014,25,45863.19528765431
IDBO,F32014,26,53942.283013107706
IDBO,F32014,27,47259.333984595156
IDBO,F32014,28,50960.276934236936
IDBO,F32014,29,44611.88842595595
IDBO,F32014,30,68594.62132727756
IDBO,F32014,31,60692.3397623402
IDBO,F32014,32,37317.63917832725
IDBO,F32014,33,28177.44889055694
IDBO,F32014,34,53127.73162440916
IDBO,F32014,35,48174.47524428768
IDBO,F32014,36,52379.65450447697
IDBO,F32014,37,39446.872827481566
IDBO,F32014,38,69822.16252177738
IDBO,F32014,39,27037.424035675213
IDBO,F32014,40,76808.58780540011
IDBO,F32014,41,69275.46835592335
IDBO,F32014,42,33387.16782869551
IDBO,F32014,43,28753.488596783605
IDBO,F32014,44,35276.128246901564
IDBO,F32014,45,51474.90829451359
IDBO,F32014,46,75364.10423993578
IDBO,F32014,47,33033.34993995077
IDBO,F32014,48,40988.54412249466
IDBO,F32014,49,38288.988814344
DBO,F32014,0,57071.63363987257
DBO,F32014,1,43401.82120360869
DBO,F32014,2,52476.95605807783
DBO,F32014,3,45878.55885869285
DBO,F32014,4,54004.23037587615
DBO,F32014,5,60778.85299443214
DBO,F32014,6,48861.83090190865
DBO,F32014,7,47578.32005210582
DBO,F32014,8,55821.385127423484
DBO,F32014,9,49427.92567624115
DBO,F32014,10,59144.81559271801
DBO,F32014,11,64823.55221317059
DBO,F32014,12,72855.7758028463
DBO,F32014,13,32609.380370295876
DBO,F32014,14,53189.1994945816
DBO,F32014,15,44273.38744322512
DBO,F32014,16,35981.90935712015
DBO,F32014,17,49655.76777994844
DBO,F32014,18,62073.38585963646
DBO,F32014,19,46268.9566402127
DBO,F32014,20,46497.783589241095
DBO,F32014,21,63434.86552127062
DBO,F32014,22,64618.47916519037
DBO,F32014,23,59362.66543469669
DBO,F32014,24,46874.09084455803
DBO,F32014,25,59918.89881942011
DBO,F32014,26,50521.18779857996
DBO,F32014,27,51541.80568225479
DBO,F32014,28,29613.865194279042
DBO,F32014,29,58155.50721130531
DBO,F32014,30,62029.441952804904
DBO,F32014,31,28089.70856708997
DBO,F32014,32,64124.03473552179
DBO,F32014,33,68117.85428479976
DBO,F32014,34,62489.92147475666
DBO,F32014,35,66556.66297770056
DBO,F32014,36,63979.34548106739
DBO,F32014,37,55683.8476423057
DBO,F32014,38,48168.3024689281
DBO,F32014,39,50649.63082461837
