Function,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50
F1,2933621.621028632,6915558.361477878,4257503.34090408,2409552.4074259354,7393860.6357143875,5242252.266753832,10279048.469902067,7301048.378141568,12257417.08685239,6076831.153945124,10831386.807482999,2560808.7879284564,2337273.804511344,13268997.101035565,3330096.8651344893,10262318.459471125,10834759.369327668,7423388.343522454,4421376.256713331,5993289.652271662,2019140.582988874,8505894.337611776,7003968.730454581,9083011.948181152,4837942.417171197,11440401.620077752,6163242.467348499,7465323.990551499,5618491.119537779,11212912.672136806,11568756.399387393,3984669.904598734,1372537.9219326223,3340474.666951477,1844479.9882254435,5779330.722070168,12467511.210090809,2963814.1433809465,2603058.185667159,11128196.138485909,5541547.783023769,1199637.7006356975,2457954.8792334665,5976652.199144388,5745867.641823898,6612433.825426438,10084544.062490597,2697770.71220348,864557.2667736785,5499655.311493298
F2,8573.77712127875,11833.723090457383,1263.7289894870403,22070.042383049815,6891.009062149375,10599.228372551917,18215.950332225508,16264.13865117641,11449.08661096236,8128.666157543152,18862.646552591526,5456.795495044895,7983.26154887626,19996.45925443604,1984.9637554047529,6065.46284396444,23255.955828455597,6733.691142173371,494.8304452598466,1767.975153056946,10286.085229264738,4017.7585231867174,12068.058606692526,15505.716484435468,5287.511574841914,655.1122084994217,13202.174436358298,11714.265451905998,5529.671425019089,9353.776933407134,5018.047757219936,5072.908583412013,12002.47681367998,21932.451336922994,2874.142136807644,9137.270126506655,20017.613749335756,5701.835186392509,9212.639400282007,7928.6736022290825,9204.241095775751,2636.1466051399257,16299.094317855355,19990.215881439588,3622.5924824221593,1755.4191175088117,8521.392741815851,8030.45464422926,21802.549140961393,3435.8727378987733
F3,8015.664449668541,4698.004745429176,1462.0158080275346,5369.802814273808,5333.738253711406,8012.144254106384,11449.051121513457,11624.795892552827,2741.1671704068112,2671.778299429009,7130.839072010711,1438.6789561177748,1634.2464928152576,4998.023288866174,12436.43591322092,3660.5555808522104,10803.585503976754,586.4543260443119,16891.191957845196,899.0306361893907,621.284112327208,5009.465658911591,10358.560414650403,2376.9727378358607,1998.538536020505,2485.702038554296,3967.0880861762184,1525.002093373735,1522.2059313834316,3787.34822389576,1919.8676322795236,14030.802970851613,1055.3523685688335,19860.095538044112,7079.788962077647,6058.007344361433,1135.935163829255,1989.7081264239412,6920.077479806344,1173.6581051921814,8379.3212866973,8783.324401482969,842.5410716575097,9190.377611871665,4965.464222336947,3232.961120543445,416.5442573089735,7529.051822804954,3381.6283794346864,15001.984286318897
F4,482.65228978326365,539.4774474817534,542.147331189618,535.0600810304911,468.55943200779427,483.8783934493173,540.3798062891997,480.7259539742291,477.24869022954675,477.2733813890642,481.8914758970405,536.3749868641856,466.65581303429246,486.5497671285321,546.5232637615228,545.1217551188972,475.60764964479574,539.686878618658,586.4854748548075,547.7089461831245,472.28404672143927,482.60724708102913,498.7236085419163,538.390097650271,510.2069397177793,538.2669379458813,491.8982059761431,593.4743287613188,541.8315096676517,480.79101200748346,536.3816290442325,534.2471198711971,486.96959381105455,529.530075269187,523.0258519832643,557.6515028315083,544.3457657881603,546.0530416785704,489.06635335343174,534.9719310261208,549.4603656979727,476.2593855001378,481.02225665498804,476.43531997414146,480.7426821749951,548.8174531213465,469.4011583697712,535.0375436005065,510.9836457481666,540.7803552340812
F5,521.0404249126303,520.9878369019291,521.0013574329973,521.0230121114963,520.977594766123,520.9382872175192,521.0639730918525,521.0405271235755,521.0182509981871,520.9042561263352,521.0093266594081,520.9379963797354,521.0358933404666,520.8358794175373,521.0492483099683,520.9998505676565,520.9776907039757,521.0145748159772,521.0281073273801,520.9610402481069,520.9534613161717,520.9922335784759,520.872911291706,520.9924535005933,520.9869596671336,520.9376018021441,520.887131940596,521.014706406681,520.9805837291877,520.9725950813478,520.9751249335212,521.0213517489266,520.9723677309547,521.0693244802923,520.9577027148006,520.9726466280493,521.0598226001506,521.0421328967855,520.8906088029024,521.0649228924369,520.946860906148,521.0096456867138,521.0237568329976,520.8856076359345,520.8795495389223,520.885716956821,520.8941706205387,520.9768950538086,521.0165344308443,520.9417099166479
F6,627.7650208430026,628.918198170186,633.3875265355142,626.2023579837011,628.680574543254,625.4134587210795,623.2671950745101,631.6691601881306,628.8449248142698,630.324176156418,631.0683046700545,627.2990816589543,623.560616712416,634.238383253715,623.9106705546411,636.9329528230406,631.0206190877954,630.7779466219778,628.6461368148676,634.0306168540894,626.2467685870475,628.685669232713,628.4675969161912,630.049982662932,631.9868754108261,632.7227923874408,632.0892179402272,630.9626773079519,622.0371380938561,625.9567278475021,625.0327814973173,625.881893067687,637.1350671425005,631.3999283916125,626.3993619109237,624.5653350647003,627.687066452263,631.7569912873681,631.8642443463713,629.2099123889385,629.8926101283756,629.5008288308368,622.7533899520516,628.2066957670374,625.0607547616733,633.796141637956,631.3371386517152,631.3508167549904,620.954951737258,627.1781135618021
F7,700.0491396876905,700.0000237132666,700.0002461646529,700.0245884028469,700.000072356444,700.058994273265,700.0147895144369,700.0222482046862,700.0000080529335,700.0000771998315,700.0245909694754,700.0270625780984,700.0000655260739,700.0000329108269,700.0295353497271,700.0247305644292,700.0000586940116,700.000004250833,700.0295209716439,700.0000322393726,700.0001470294628,700.005569032765,700.0000572871425,700.0174405118512,700.024592564039,700.0370769702922,700.0294719629891,700.0250098261656,700.0246113706946,700.0126685553156,700.0197066370407,700.0295226920566,700.0174635796104,700.0000259639778,700.0074308971989,700.0000275124513,700.0001486687784,700.0246054132155,700.0000119285792,700.0099324845016,700.0000202917009,700.0000259423853,700.0074640884966,700.0002791151783,700.0002410785424,700.0246669017314,700.027429998164,700.0006382831782,700.0002510683925,700.007429002723
F8,841.4670674135658,832.9158538904858,836.8421824496731,841.8000229121934,823.8790616576689,843.8228676529363,867.8742393619016,849.5003568278124,864.9764387830692,865.1660962432957,845.9012536581321,820.5300055478824,843.8808062821794,832.8664333941748,856.7149285831289,847.9827402110328,871.4733189080263,862.8015835538253,833.9211364550705,826.8642651109311,855.6354104155702,851.8339491451346,849.8017213720891,835.8247659806478,821.8944189491049,831.9200625466142,832.6501821660257,869.7115225057398,833.849870241519,846.7955609207087,842.9960929475538,873.660517196299,820.9154804611496,861.9470707277717,869.5749416170091,858.7190484432894,838.9705279172487,856.7443804062556,846.7638624820768,827.4469659887177,825.8800163965258,827.0310122160764,849.7631605632819,864.5873821735822,828.8644033258803,833.0048641440594,850.6883600207794,831.897576375172,839.4295570375641,826.8774552258441
F9,976.9750451286452,954.0683241224943,1034.817603888945,952.9990503329924,950.5031554361404,972.0041692301011,987.171038531334,981.632424585598,936.6386229017962,991.7467801818149,971.1649028672678,957.9571653361254,979.8249051772559,959.964934385785,957.4509737686384,963.7272307785955,968.4706691537098,964.1411252832746,1035.1097148839397,927.1431915129041,932.2793868226635,954.4089510854379,1002.86737673418,973.8225874775969,1067.132743377514,963.049422147956,988.9122309882537,976.6934427997734,954.2917943466538,987.9196894281287,1011.4548562729489,1015.4146562575686,961.2442146323801,967.8649386376452,1002.4672192398275,945.8357609684947,992.5097604588655,943.4430171274698,988.4675338196516,1025.5698220922939,982.6847471024782,949.5154916396298,967.4727609490519,980.8825633250661,1012.4542612007427,938.7452364635164,1045.7467390389772,986.3532207171802,958.8448307678873,1006.1259741160424
F10,2008.0982570302876,1767.6836577486356,-1876.1235949305901,2339.5119375987324,1231.3044427810928,2590.6422305253927,2487.4415240099006,2566.7600263579225,2882.2292590506077,209.2769889623887,-54.48567988491777,-79.75446459824161,-1000.8333771341913,363.4631931935455,33.91996470990853,2227.7789266566633,1874.4607228168497,1701.4586727568985,346.8938204216611,2199.2978652353595,1997.4145936981586,1304.1407753723215,2566.659037000689,879.3185647828795,1444.6754158561998,2697.4897320112213,-235.60108194157692,2678.563914201508,3020.7471793811765,-282.93402250417967,-517.5678936232871,1781.6095795338097,1612.341213769234,305.8560082203585,-111.70346458175845,1003.2078616479521,2681.532354099625,-492.02572510918253,1537.8650125464046,433.02376014419497,2828.594586808278,2027.2796865654946,725.5356620988077,1837.5765331115726,1715.5884126850542,1699.6471890171724,1588.9780129701012,1276.6522361980024,504.8749269898617,1291.1968826804514
F11,3918.629382207726,3557.936573593044,4122.086161571588,4035.2875025243593,3419.378374160122,3821.7622385672476,4177.5868585373155,4006.996580037194,4010.9039259362817,3794.84073984976,3032.4753782079497,3875.7167288272976,4918.0296481706555,3289.339571030965,4496.992359571606,4136.60973136509,4155.656885620934,3166.820152964314,3412.7955843984764,4557.95351540951,3442.545832380363,2774.9040337743045,3698.8732279614796,2459.9930552166807,4349.186965071984,4431.092319573927,4309.620328323277,3582.406899271882,3545.439045958392,2623.6154720274553,,,,,,,,,,,,,,,,,,,,
