Function,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50
F1,134032836.41478047,279801210.6572522,11539844.177464217,56945402.85679895,10100964.86896528,100654844.37904385,1736364.7374343202,35222459.17897364,9429461.511454081,12114138.122597152,175249641.18694296,229281921.84306175,7297275.932983734,12369210.54959361,36950120.21633845,220213748.30912903,83890897.13502419,139075491.31455284,132193309.07048023,43565394.13627246,17351325.2109147,77816592.8151893,248209940.41636553,262748984.610771,30070941.687468097,8909043.528265087,35804652.34250095,60670555.44066369,25662915.383495584,64435584.186541826,2484391.94710137,53831206.05242457,105587423.16734926,168339500.44353884,119780470.13762803,41465021.23296621,76099175.96387321,8270395.286373408,131034383.24524607,37502565.153068215,9146146.769321524,10359157.052870622,224563437.51563537,2154376.1478797216,1668805.7332589526,18254333.00084537,272173323.94130963,36086461.126698986,2598601.2946133832,93265136.70970601
F2,10854892223.200758,3493224698.2110004,21044241480.530888,6258495104.32053,7318953276.194429,10459697154.63527,7279710745.56196,4317186039.693153,8209109016.019292,15440683786.941097,6196051293.560286,1373773404.2392542,2819358604.72342,9906273573.329506,2704928355.669983,681017466.9430557,2229074564.5460367,10512735901.537472,681017448.9060935,17983357458.149345,6808115461.429653,12222507101.162884,9567634659.365192,3375582529.38564,6261112845.443404,681021229.4391831,2702863249.088595,661.5599475357585,11929340506.96528,7479378382.916045,425120949.7860751,8391333573.603791,1393.0891101111963,4096230633.7398806,6187020814.076395,9606281375.892038,5138211393.430937,2551723109.592632,7302198195.964377,7429223513.627306,6036425873.912613,10484989028.778143,1870705695.6965654,11866675637.211605,10490287785.150898,12808406304.257751,21429554135.339165,8642142906.023846,425154963.5565651,4798549314.3779545
F3,4225.097463893987,4716.456717034162,6266.057953816655,9697.674880030847,16708.627596493436,4471.52774892768,766.3966210174051,15864.748384903876,29776.27416329361,432.7515240604717,5486.452381734853,5538.276121583666,11805.738575322623,24358.585016559344,53042.54568360016,5231.743615752423,1702.9590910509585,23844.71437084563,408.29747787742593,45374.177488668094,9592.726511919394,94111.83020922779,2628.972505717666,26602.83894047517,15444.641770445192,1964.2604517081818,8780.949487701075,12386.991832532784,10135.285857223012,11850.241774005864,36083.147112023136,2193.4440703378414,35759.80081699756,14863.524061890823,5791.692575914735,38696.874136179955,15182.741743043205,5232.407397391268,4603.761964471843,1426.049238695835,36821.249311140884,25878.018155939284,7126.13869576172,13394.580558108335,27114.89064487262,12271.2636460779,18043.939436658562,3952.650395307211,6015.988295349625,983.3729537725754
F4,694.5627878418727,548.8865974597168,601.0964516660665,685.15042764705,468.92524801901106,1441.7025350473389,2459.630959473466,1412.156156176663,839.4100732139284,1103.5708832457158,498.1731845781201,1116.4079800170798,1343.8423246261004,1654.0332167662114,685.1193668844813,1089.170543204742,487.88409393227715,2588.3522675140052,635.5840364277132,545.8334584764879,648.395442132363,528.6660741083713,550.3364417018395,861.0231092679649,5867.694771848259,1317.1150138138182,546.6623166658632,531.8934215179725,2810.5019983607817,771.8682958202392,1896.9666608331756,1024.70624782578,1031.838829113524,613.3026696015493,532.3837532874877,733.140804680228,713.618370546268,886.5602454904536,572.6148688716318,812.6877371706394,570.7201268692106,828.1674916091939,922.883565850598,570.8427628806178,1969.6146547302533,500.19678088058726,466.5566866158183,1236.1436767287387,715.4440316035334,3007.8699329125757
F5,520.1133005043342,520.1169220066265,520.8180491216641,520.1849004299454,520.8988894713024,520.2130391716895,520.7217059198989,520.8329145774128,520.129930441314,520.1702593325081,520.676755833461,520.0666167233296,520.577256888082,520.1700426327925,520.6898063398664,520.8445268040817,520.0938145240713,520.3543700836778,520.554944205125,520.3177549776223,520.3253614778109,521.0087060172307,520.1617145025483,520.0665909636491,520.7227937114051,520.0170284833648,520.565644303129,520.2165728280362,520.000522069624,521.01679270056,520.1165605241712,520.144282308793,520.6951839160653,520.3215542141152,520.9857836261197,520.3308535334439,520.2804413438449,520.3568717063685,520.250911184295,520.6560716116296,520.6636441624621,520.3716406471918,520.2357409308047,520.3537538186503,520.3520547666371,520.9390166000285,520.2862601894362,520.192914612435,520.9286520367621,520.2156889847532
F6,619.4528026272632,616.6563714117643,620.7656084533274,623.2362848039071,620.2207995205002,614.695346422601,612.3290834282429,619.8807561247911,617.4408797967475,619.5824025380584,619.4976021662866,620.2527431795712,624.3844480787147,619.068519785357,624.7720266451425,618.1060436523012,625.3388262009576,620.3346832958914,620.7860240009537,616.2621152714476,621.596563000905,615.579485793939,628.2835194959176,623.4148638994158,622.371083938271,614.4584115133813,618.7326910006828,618.0016440275874,621.6544028970687,616.5053215417055,618.2518525720437,615.1180331857648,619.1591868172998,619.1508531888746,628.8049221475638,615.475120590827,625.2558172309887,619.7094060557876,616.6855632160461,628.684285292154,614.6138812578697,620.2807824603177,617.6998355672947,617.6554365073783,615.3159396076833,616.1132208038157,621.3850341432271,623.1918771163995,621.9600079734682,628.6169065176572
F7,745.7906678900312,746.8105752505962,852.160348994548,747.1513840067006,734.4217357145826,842.2756455105946,801.5753364307101,754.6115553376668,771.3066649138593,740.4029409021109,769.1007925112183,726.6337338668419,729.1855289743742,808.3410035607511,778.858438173639,724.1700989321607,728.6305840532895,767.4021002907887,825.8208644895602,735.1118626870782,772.834180578463,824.6275318940427,748.4281551352004,704.6245315068908,783.6989168778731,763.3304066592282,877.6245610186866,726.577006360493,752.9359982363031,742.7887647474149,735.9864566266954,761.4956794510892,745.364099262889,779.7080659488098,757.6623692588742,733.0094151501285,700.0000000000007,758.2121679174543,740.7613113081297,747.7663983129765,731.4411607500633,896.8117227700186,745.7802475224518,737.098995980517,828.8600671696856,802.7555963692131,730.2677544311758,814.9488159013575,726.8665777397497,774.2157012385916
F8,891.7228389307543,874.9117848209543,885.8073050684848,865.8123381181654,865.8096398500022,881.1295198831616,922.6443728676993,869.6470028769202,921.5163103932391,868.9717054212521,872.2630426474382,919.9628094906641,889.7644393265089,873.2252312395699,896.8966294920315,906.5238558931227,865.6015087803846,925.5095372793531,874.8086360811994,897.8875293052001,896.5107660250552,868.6520488576459,907.8534356527841,875.6848421455227,899.3152721994918,873.9900359575302,869.9453915242549,925.1223490081481,917.4047185420836,904.7057642339325,883.8664569111197,871.502372939354,901.3194465297977,861.6881447278244,920.1149969265091,929.46596709883,924.1758344371891,903.7323664673827,919.9327362184221,923.7378994790879,889.6928494425127,916.7061819834728,903.9734391885391,941.020813978851,907.7930658518169,877.7281358239266,896.5105629558941,889.1021707046507,949.4613189102738,899.8689724296612
F9,1092.56224505117,1058.1971288190282,1054.4406700927461,1001.906777765487,1053.6142112749076,973.6268492263695,1015.4146788818177,1079.5035961222688,1025.9775597875716,1078.791641095847,1038.6973484800646,1040.2884625893994,981.5701692479674,1063.314471810324,1054.2178697907545,1056.0944828248855,1046.5540863833353,1023.8449595782024,1125.037432050969,983.5763792071591,1015.0262162686578,1016.4098208113564,995.4968370653066,995.3078860205446,989.546037466507,1002.8144735265217,1055.2127321658722,1087.1933031851395,1027.35416741566,992.9891325785284,998.500679101423,990.9710591510031,1020.3290160560201,1025.894377848973,1029.0380194172963,1014.6202952241944,1034.5221170112384,1119.985391899018,1033.323691780412,1061.4468324498584,1034.9035191813828,1009.0749490213379,1011.057357607327,1011.356987011223,1019.4841174020522,996.6719154578275,1069.0647734830304,984.1050141376513,1050.949785625979,1064.1673693162945
F10,-2811.6027890599253,-2385.963964380773,-2595.6608452528526,-259.03649102987947,-3219.2462447889593,-4255.07689954685,-2406.2311184430873,-4016.1656926440155,-3416.029971087424,-2112.9119539066814,-3818.6015457409158,-4769.045566198834,-2241.418677023941,-5537.632142779763,-3622.324138204778,-2341.1103084628667,-2362.642230578127,-2785.9143451176205,-3696.5440009782506,-3978.986818739402,-5782.479062781185,-3270.773101631603,-2605.448543692586,-4571.859278464835,-4084.499699639873,-4198.565962414483,-4207.399886024003,-5409.5770997960135,-4256.889208678909,-2107.7103827387746,-363.3745595176406,-2851.790392277395,866.2669545794452,-3355.09846216605,-3572.1738208421084,-2535.697302165914,-2892.425675488521,-1246.888410523943,-311.6517290251486,-1889.5042666608351,-390.7523319074571,-2838.9283828365697,-1312.0899766530747,-3955.2535795183685,-1002.4099651421966,-1741.3320779395235,-3876.2059046909562,-1769.4337593889213,-2233.340336425508,-5341.218933028518
