Function,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,Run40,Run41,Run42,Run43,Run44,Run45,Run46,Run47,Run48,Run49,Run50
F1,1912.230855849214,1938.2373786121611,2957.944793159902,1089.3088410818682,5816.964760559598,859.8486594135597,5414.926791644741,2201.4547489964725,2632.5042798372383,1413.559513310336,12298.412506745886,3686.5892188385687,709.3115030323503,3812.6154412717306,3832.322138531268,913.2341784626745,8221.853728714203,2836.8618916517194,1819.800801797536,3892.784346792821,577.7736287061833,473.2937869900012,1055.2600233170874,5139.406160402265,5019.0434447691805,309.2829174859529,10074.454230615822,2849.6886590572194,2947.6323916642837,3530.3056216839504,6291.587507796943,842.2074608398361,2522.564629403914,2777.8945744864773,1129.6500567809985,3625.979738616596,11207.338990835302,1061.3130507546311,671.2449143273261,4864.081734881536,276.47876222747163,3920.8280321337393,18720.79065681821,766.7564562477995,4891.7764072762775,2968.0040381955896,4366.486152252224,3279.7776541805724,1796.9397328314599,506.9553022764052
F2,200.00051950015032,200.00056105771026,200.00125207418517,200.00308926130063,200.00069620656436,200.00114612089843,200.00055166600802,200.00101243434827,200.01855149898404,200.00166478454656,200.0025266061223,200.00672877403937,200.0005192698382,200.00038503066577,200.00222492310445,200.0094616123479,200.01071609028014,200.00814420156752,200.00237376010443,200.01982184277952,200.01065680488017,200.00095292987947,200.00062510315428,200.06799067125644,200.00016204416144,200.00637950196202,200.00333390149544,200.00157561306685,200.0007715148796,200.0010488502268,200.00370877955018,200.0011935229516,200.00465566910606,200.00296094609442,200.00320789247846,200.00057015345126,200.00940885304882,200.00993485288777,200.00107231285395,200.0025087976195,200.0014290510732,200.0035468885133,200.01585177100404,200.00110247277453,200.00220038299733,200.00207687995257,200.00218600715206,200.0002694070395,200.00169439424457,200.01047756006608
F3,449.3152248205764,395.19186373811397,314.58665044166366,336.80221394458374,443.2305942642951,382.1019542179872,458.1562634692586,410.3476293134438,447.9399309797867,473.6377200837518,422.6966793254417,452.52720934452043,377.1985644970268,389.3304825137889,415.59971786085595,400.96017725590525,435.53631777328917,380.6099703645763,370.6190157320731,385.7910441698282,379.55325768319346,373.41174743039767,383.16892766442277,333.3755974614204,416.6409554597666,377.5015806078784,376.49086316268813,395.51939762627364,431.3437741955698,334.6592375779021,433.77692853499104,427.35119286328427,446.34972509577443,461.70312447661684,439.28088573854484,433.7794671589821,300.5360367106208,439.977511170728,442.7410818002179,421.87598033893323,380.33701769647723,387.26751032074475,382.4020912550418,379.0617568512765,386.37508603986356,317.1542879816292,382.0344613589401,379.55668557914083,316.67924398823885,334.9770907287239
F4,854.6872504083087,654.7070433032513,636.7980868747004,610.9299600730419,634.8085455711662,573.1208459734345,712.4143054055705,641.7730347930075,683.5601833428864,651.7227165070192,660.6764931706065,568.147180144885,587.0499039453202,564.1673144663832,633.8130494404917,607.9446238717142,659.681782755322,562.1772000708029,628.8392577183869,624.8588602164577,672.6165893716939,674.0119286425316,609.9346840097436,628.0016778749872,618.8893749513755,681.5709395175934,560.1875803696782,616.8994304616548,547.2533862550401,737.2914785880685,655.7024229340796,719.3784724752319,639.7834799163941,589.0405331207938,682.5657028266198,686.5455380388114,613.9146353593002,616.8983701966383,551.2329013893404,556.2076849370974,662.6658742974737,622.8689690241533,645.752824685898,604.9598007923444,848.718491978191,656.6976074865543,625.8542102249712,652.7176790043338,708.4335461984285,684.5558979948312
F5,500.0000103079818,500.00005271891536,500.00003401145216,500.000114203854,500.00000300634696,500.0000002156425,500.0000148381008,500.0000008808637,500.00016452018536,500.00001343034177,500.0004001584359,500.0000012172344,500.0000628159111,500.00000727827205,500.000009511715,500.00000049074123,500.0000035539107,500.0003321725422,500.0000207598832,500.00031529280847,500.0001225668862,500.0001627821573,500.00018880595445,500.00000156784586,500.0000263444607,500.00002619508456,500.00000009396024,500.00000527221084,500.0000024061013,500.0000000796018,500.00006644806524,500.0000926938168,500.0001719723243,500.0000001462776,500.00000159389293,500.00000877275414,500.00000010881956,500.00000026722546,500.0000052902326,500.00000003773647,500.0000747373868,500.0000026627988,500.0000031280849,500.0000116400658,500.0000312000631,500.0002158548663,500.00000278725946,500.0000260743733,500.0000102829787,500.000028742873
F6,988.5746027137079,932.2393043165886,1029.5570591200744,825.3807452977202,1089.6991762449227,958.8653954029879,982.7458843932179,1024.957869488977,1002.3797249194588,879.7133916979128,1087.288566139882,1085.915187526603,1049.0786644723364,978.8677409163788,988.3108455528136,966.1381092281321,977.8226049066714,1049.9953906518938,1064.0263428756411,951.0218938503649,990.4459609546338,1022.8248025472534,907.0231456078559,885.3825207879154,977.2371064556986,1106.1360150024911,960.2098845304815,1103.3280375108209,991.4174046412832,836.0446647544844,1173.331218059465,1152.8152467469133,936.7789216914869,995.5020387799743,955.9089100886542,866.5640150640779,938.2892515589456,837.6629218520692,837.2479708575336,1001.3155689728278,1262.3121380351731,992.4483607470243,956.756516114531,914.3331800492663,928.7220135527539,935.3473049918828,848.1088324706095,977.169133027501,1127.4905362746615,1010.2499244302345
F7,898.0,810.0000000021361,822.5000002716583,854.0,926.0,860.0,828.0,868.0,880.5,826.0,854.0000241134366,784.0000000000005,832.0,836.0,812.0,838.0,858.0,834.0,832.0,852.0,816.0,810.0000000000001,872.5000000000002,824.0000000000001,840.0,886.0,830.0,868.0,808.0,852.5,836.0,806.0,840.0,876.0,786.0,844.0003129312742,782.0,846.0000000000002,828.0,800.0000000000011,832.0,822.1759352270398,818.0,872.0,844.0,806.0,868.0,906.0,866.0,876.0
F8,802.6297645438945,802.6297581068474,804.715657034693,802.5402291192528,801.3629720789957,802.0858982823414,805.2121282595156,801.631561756688,803.8720301615645,802.2649383711922,802.719267541111,800.908648342299,803.6668574659691,802.3544775901154,801.3580120660481,802.1500441853165,806.5108922617601,800.8124370535501,801.9001419301735,802.7192754207938,804.3964914572797,803.1491230244717,800.6333805858893,800.6334198673969,801.1772380111717,802.1830753463033,802.2649390909537,803.0843170053462,801.9001581753586,801.6315584411716,801.810615410667,801.7211719657254,801.535501308709,801.1772356723417,801.8106135593123,804.2684111264514,801.8106421218426,801.5420295228148,802.6297551795664,803.1491207278959,803.1491223509091,802.1754133650011,802.3319055395737,802.0858950091821,804.3263554428066,801.9963626757516,805.636716395427,801.7211156923668,801.3629750029886,804.9995868903576
F9,-981.7484139251355,2366.2708990260453,936.9141914907887,1181.7279815955208,-458.286830109093,2344.8683281316007,2883.1915027849063,3245.072848693635,-279.03866584834213,1026.0638183668252,982.8628477225593,1387.7472414989716,893.664308635658,-660.125540266632,990.0886040863352,1206.3549822804707,3112.8702486506772,-297.4754943718981,-1849.1342662487496,-2156.356602008538,2309.35778316924,1931.3278571518167,1862.990684676177,-436.4667867569624,3575.5554856599265,2766.0737883910424,461.35230443227556,527.2239898640946,2876.577642214994,3105.007322420559,-657.2657327821926,-2140.8877766773294,1816.7533051306928,989.4125081736875,-749.0440467371809,2712.957039229632,-79.87752484538396,24.926128528039044,-1345.0614059112377,2668.7015155175923,-190.58666253545925,957.8579551827861,849.1228729759223,718.0691378926131,2323.918802663211,375.02014183042047,2438.1221087810172,3825.892621128456,664.4047191749323,425.28488199949425
F10,1769.2309654354412,15795.58918523022,21254.32070232321,11011.842272830925,4386.683445135641,6678.00227880053,12471.023808805603,21489.650291114773,5661.274282271917,10749.491172787548,24725.177662942577,27831.935469510863,5586.154402985992,14789.135103831019,3097.3595175110813,16393.453378654514,24482.417192614455,19315.025797575454,17589.001067741603,6572.183615907208,16888.266129997828,16100.986124868185,22867.02180572443,5663.446395577117,22734.950993232815,14759.407957348121,22156.803770139475,22920.557193396784,18329.539311491008,13459.571049687693,17054.896316678976,27523.56663117048,9579.235021675337,4715.684649058738,28842.89109547308,22395.735488707563,28669.35212996824,13476.836357159427,17114.626180021274,41670.066369119144,11043.360944640795,7269.432046194612,9947.17249879004,16179.212130599371,10333.41295458945,32541.944353826882,1779.384836397329,17687.67357998511,13216.372478831569,5820.608138600266
F11,6268.275122423562,6800.171500708173,6666.0273047710525,9786.491309656298,3874.323655417337,2693.9860618524963,5603.904622582142,5637.826873219098,8768.473717721467,18930.46702475089,12317.899453782262,13489.105851809523,4156.1504131704705,4811.635501416679,18930.830140716283,4377.4950859803885,3701.4367020576137,6837.388108974815,8515.658076930386,19065.963582641525,4461.869591099063,4023.3370781149897,10704.668710866972,10695.856347275649,19147.33310894942,7306.300120258771,3403.832921129732,8120.0909884366,13574.179487954838,11208.834632044864,14871.716545159616,4969.0153541543095,5337.956471963248,12850.162501427214,6409.064635595127,17693.133496777114,4251.437853188376,6059.612460052637,6012.840913820369,15867.687963975928,3649.2356960947754,4987.588007325899,3133.6131536141856,12378.368233696798,8033.230976800853,10652.198613927994,12416.629243177915,4529.919356074524,10839.227599323229,4650.240799305905
