algo,IMSA.MEAN,IMSA.STD,IMSA.RANK,MSA.MEAN,MSA.,MSA.RANK,PSO.MEAN,PSO.STD,PSO.RANK,GWO.MEAN,GWO.STD,GWO.RANK,WOA.MEAN,WOA.STD,WOA.RANK,SSA.MEAN,SSA.STD,SSA.RANK,DE.MEAN,DE.STD,DE.RANK,GA.MEAN,GA.STD,GA.RANK,HHO.MEAN,HHO.STD,HHO.RANK
func,,,,,,,,,,,,,,,,,,,,,,,,,,,
F102017,248677.5967,959244.7433,6.0,393057.634,1597644.495,7.0,680449.2933,791919.8825,8.0,102082.0623,31376.80535,4.0,38786.07111,24437.10392,2.0,156137.5836,46799.89647,5.0,1406713.007,963303.6377,9.0,70174.69284,69302.75438,3.0,33219.37093,33213.20258,1.0
F112017,284620806.7,639425286.7,6.0,550763786.5,1112599302.0,7.0,2076950065.0,1888764129.0,8.0,41956528.11,89252144.5,4.0,1913871.115,1280579.285,1.0,71302072.42,62692276.72,5.0,2130928948.0,731595426.7,9.0,7913730.993,4119666.576,3.0,6011999.844,2498380.222,2.0
F12017,3398694909.0,5133228674.0,6.0,8433171390.0,7556859102.0,7.0,21586086052.0,8676380430.0,9.0,1520968177.0,1283882704.0,5.0,11376101.93,22491024.11,2.0,442371053.5,519839519.1,4.0,15809889151.0,2940090826.0,8.0,40053.02749,13125.03959,1.0,16809190.71,4141803.474,3.0
F122017,249750622.8,498033992.4,6.0,623006419.7,976256593.1,7.0,1178767698.0,1419575662.0,8.0,32526994.67,118362418.0,5.0,322680.359,202636.5814,2.0,8056668.104,5220836.036,4.0,1309297733.0,403805390.7,9.0,275862.4739,139804.978,1.0,1191623.414,630326.1365,3.0
F132017,595179.3186,423698.2313,4.0,1036127.699,1418699.457,6.0,1259116.123,2619940.194,8.0,973761.6846,1169555.935,5.0,327346.186,207467.6569,2.0,1636154.005,1112990.437,9.0,1117868.251,571803.8888,7.0,252504.9209,69666.12141,1.0,478084.8842,335052.1455,3.0
F142017,71290884.37,219478024.8,6.0,196502898.4,539737623.2,7.0,228628185.0,574727488.9,8.0,2690491.448,13893466.11,5.0,231985.6385,125073.4402,1.0,2559023.173,1507498.542,4.0,409725100.8,207722903.7,9.0,238924.4151,278263.5279,2.0,323171.4745,175893.4619,3.0
F152017,1947090.028,1930709.296,6.0,4922226.855,11942952.55,7.0,42904261.06,86131912.13,9.0,1793226.506,2075845.078,5.0,65877.2687,250369.4885,3.0,512019.0915,735284.4515,4.0,10760180.27,7994349.103,8.0,34074.08932,27954.6141,2.0,9053.686841,7960.891938,1.0
F162017,52302022.56,368111193.3,7.0,5946891.134,26178459.24,6.0,452906999.7,2799709264.0,8.0,44880.84675,17314.94871,4.0,2496.834297,1838.464977,3.0,81390.34541,32413.87436,5.0,1543570751.0,3092309366.0,9.0,1043.96924,448.9530888,1.0,2460.273059,1653.416799,2.0
F172017,113752.2334,39420.06143,3.0,143956.1356,66471.66842,5.0,201999.9515,84888.13275,6.0,721137.6337,1670882.718,8.0,118257.8085,57439.57933,4.0,888400.1974,1028709.841,9.0,380949.6421,215725.6636,7.0,109651.5324,25234.57514,1.0,111772.0167,27216.81337,2.0
F182017,1792278.552,8068595.727,4.0,429041375.1,1311116578.0,5.0,44067417928.0,38851021811.0,9.0,1339360948.0,2143937590.0,7.0,155136.2829,63347.84794,2.0,456177569.2,1620905919.0,6.0,22159710856.0,33801301490.0,8.0,95317.27268,35029.18371,1.0,171220.601,73359.05904,3.0
F192017,1806.616466,886.9821605,6.0,2154.774173,1337.940595,7.0,1410.347701,1347.568213,5.0,568.8708089,449.7012163,2.0,452.2248861,337.5821485,1.0,2485.830464,959.927234,9.0,2436.183593,542.5831074,8.0,570.7600631,458.4619282,3.0,1259.026313,512.2554611,4.0
F202017,3462.819351,3335.522248,6.0,7994.139755,7206.713544,7.0,15199.49044,8817.701574,9.0,1730.155833,864.2272701,5.0,425.0455746,156.0017838,2.0,1374.165556,522.1295168,4.0,8709.048838,4200.158243,8.0,301.7771154,146.6900293,1.0,458.6721915,233.8433225,3.0
F212017,249.9837723,303.7209592,2.0,523.122031,832.9978544,6.0,594.2642753,837.4389618,7.0,127.3328339,38.17009593,1.0,3248.451571,2087.540452,9.0,300.4785158,293.221499,3.0,420.5859916,116.2116905,5.0,339.4906372,807.0560795,4.0,2750.439552,1891.998528,8.0
F22017,5400.66766,3569.586259,4.0,8244.917475,4780.165253,5.0,30440.74506,16726.0447,8.0,12903.67646,5700.222991,7.0,72.68612291,117.977051,3.0,10478.26574,5152.685936,6.0,33565.05905,5807.312608,9.0,0.046996575,0.017344597,1.0,32.64432648,8.33958939,2.0
